datetime,image,algo,K,thresholds,time_sec,FE,fitness,PSNR,SSIM,noise_type,noise_amt_percent
2025-10-26 13:48:06,lena.bmp,Otsu,5,60;95;118;144;172,0.035419,1.099979,-1.099979,26.233279,0.752948,none,0.00
2025-10-26 13:48:06,lena.bmp,FCM,5,53;81;105;129;162,0.005225,1.135445,-1.135445,25.697428,0.767608,none,0.00
2025-10-26 13:48:06,lena.bmp,PSO,5,38;67;112;113;176,0.818817,1.249300,-1.249300,23.840217,0.644266,none,0.00
2025-10-26 13:48:06,lena.bmp,GA,5,37;69;112;123;174,1.091350,1.227285,-1.227285,25.123236,0.667596,none,0.00
2025-10-26 13:48:06,lena.bmp,WOA,5,37;68;102;113;174,1.350670,1.234126,-1.234126,24.439816,0.670858,none,0.00
2025-10-26 13:48:07,lena.bmp,MFWOA,5,37;38;66;117;118,1.274615,1.251203,-1.251203,19.502142,0.605802,none,0.00
2025-10-26 13:52:11,lena.bmp,MFWOA_K2,2,111;112,0.829847,0.874304,-0.874304,16.694183,0.519452,gaussian,1.30
2025-10-26 13:52:11,lena.bmp,MFWOA_K3,3,109;110;175,0.829847,0.991976,-0.991976,19.673216,0.549880,gaussian,1.30
2025-10-26 13:52:11,lena.bmp,MFWOA_K4,4,38;65;114;115,0.829847,1.125305,-1.125305,18.858316,0.545336,gaussian,1.30
2025-10-26 13:52:11,lena.bmp,MFWOA_K5,5,36;61;107;117;166,0.829847,1.217176,-1.217176,24.499882,0.626170,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,MFWOA_K6,6,41;67;97;112;121;174,0.829847,1.308697,-1.308697,25.384261,0.659881,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,Otsu_K2,2,94;143,0.010175,0.762454,-0.762454,21.275717,0.614572,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,Otsu_K3,3,59;94;143,0.016781,0.874698,-0.874698,23.277230,0.678526,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,Otsu_K4,4,59;94;117;143,0.024968,1.022144,-1.022144,23.958619,0.684782,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,Otsu_K5,5,59;94;117;143;171,0.035045,1.106510,-1.106510,26.007402,0.705990,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,Otsu_K6,6,59;77;94;117;143;171,0.045444,1.198297,-1.198297,26.496186,0.735479,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,FCM_K2,2,76;136,0.001170,0.716942,-0.716942,21.355955,0.634954,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,FCM_K3,3,62;102;147,0.002387,0.877285,-0.877285,23.508676,0.668498,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,FCM_K4,4,56;90;120;156,0.002568,1.021342,-1.021342,24.661789,0.693098,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,FCM_K5,5,53;81;105;130;162,0.004637,1.136978,-1.136978,25.503748,0.721479,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,FCM_K6,6,52;78;101;122;147;175,0.003239,1.212552,-1.212552,26.800820,0.737914,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,PSO_K2,2,111;112,0.565980,0.874304,-0.874304,16.694183,0.519452,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,PSO_K3,3,109;110;175,0.714283,0.991976,-0.991976,19.673216,0.549880,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,PSO_K4,4,34;107;108;175,0.728548,1.101355,-1.101355,20.887945,0.519747,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,PSO_K5,5,37;66;111;112;176,0.809348,1.238584,-1.238584,23.489416,0.588339,gaussian,1.30
2025-10-26 13:52:12,lena.bmp,PSO_K6,6,38;65;110;111;170;171,0.894834,1.297934,-1.297934,23.778041,0.601514,gaussian,1.30
2025-10-26 13:52:13,lena.bmp,GA_K2,2,121;122,0.704240,0.857959,-0.857959,17.081320,0.521361,gaussian,1.30
2025-10-26 13:52:13,lena.bmp,GA_K3,3,109;110;175,0.792242,0.991976,-0.991976,19.673216,0.549880,gaussian,1.30
2025-10-26 13:52:13,lena.bmp,GA_K4,4,34;107;108;175,0.859205,1.101355,-1.101355,20.887945,0.519747,gaussian,1.30
2025-10-26 13:52:13,lena.bmp,GA_K5,5,36;75;109;123;175,1.254358,1.213723,-1.213723,24.992840,0.617795,gaussian,1.30
2025-10-26 13:52:13,lena.bmp,GA_K6,6,37;67;112;113;177;178,1.017884,1.293635,-1.293635,23.644760,0.587302,gaussian,1.30
2025-10-26 13:52:13,lena.bmp,WOA_K2,2,111;112,0.645563,0.874304,-0.874304,16.694183,0.519452,gaussian,1.30
2025-10-26 13:52:13,lena.bmp,WOA_K3,3,35;110;111,0.795628,0.981446,-0.981446,17.247876,0.478271,gaussian,1.30
2025-10-26 13:52:13,lena.bmp,WOA_K4,4,37;68;113;116,0.960850,1.120314,-1.120314,19.050448,0.547880,gaussian,1.30
2025-10-26 13:52:13,lena.bmp,WOA_K5,5,37;68;107;114;175,0.991259,1.228651,-1.228651,24.167912,0.607887,gaussian,1.30
2025-10-26 13:52:13,lena.bmp,WOA_K6,6,37;38;71;94;117;118,1.141969,1.334640,-1.334640,19.857815,0.573896,gaussian,1.30
2025-10-26 14:03:25,lena.bmp,MFWOA_K2,2,112;113,0.785737,0.871924,-0.871924,16.775919,0.541783,none,0.00
2025-10-26 14:03:25,lena.bmp,MFWOA_K3,3,109;110;174,0.785737,0.991097,-0.991097,19.838999,0.582916,none,0.00
2025-10-26 14:03:25,lena.bmp,MFWOA_K4,4,38;65;115;115,0.785737,1.134451,-1.134451,18.818567,0.591328,none,0.00
2025-10-26 14:03:26,lena.bmp,MFWOA_K5,5,36;61;107;117;166,0.785737,1.224193,-1.224193,24.782178,0.686065,none,0.00
2025-10-26 14:03:26,lena.bmp,MFWOA_K6,6,38;69;90;115;116;180,0.785737,1.336005,-1.336005,24.755417,0.681149,none,0.00
2025-10-26 14:03:26,lena.bmp,Otsu_K2,2,95;144,0.009688,0.757003,-0.757003,21.370294,0.638032,none,0.00
